,title,price,link,brand
51,3 in 1 cooker,30,https://charlottesville.craigslist.org/app/d/quinque-in-cooker/7821913172.html,missing
52,sanyo mini refrigerator,20,https://charlottesville.craigslist.org/app/d/quinque-sanyo-mini-refrigerator/7821912888.html,missing
53,appliance cords,15,https://charlottesville.craigslist.org/app/d/montpelier-appliance-cords/7814371122.html,missing
54,new electrolux ventless electric dryer,285,https://charlottesville.craigslist.org/app/d/charlottesville-new-electrolux-ventless/7821208160.html,missing
55,large room air conditioner,200,https://charlottesville.craigslist.org/app/d/scottsville-large-room-air-conditioner/7821183872.html,missing
56,ge 1050-watt air fry countertop convection microwave (stainless steel),149,https://charlottesville.craigslist.org/app/d/troy-ge-1050-watt-air-fry-countertop/7821175637.html,ge
57,like new 7.2 cu. ft. vented electric dryer with sensor dry in white,400,https://charlottesville.craigslist.org/app/d/charlottesville-like-new-72-cu-ft/7816178624.html,missing
58,hunter fan air purifier ion generator,25,https://charlottesville.craigslist.org/app/d/charlottesville-hunter-fan-air-purifier/7819917488.html,missing
59,frigidaire electric stove / oven,350,https://charlottesville.craigslist.org/app/d/waynesboro-frigidaire-electric-stove/7817981568.html,frigidaire
60,dyson oem dc14 hose assembly dys-908474-28,25,https://charlottesville.craigslist.org/app/d/pratts-dyson-oem-dc14-hose-assembly-dys/7819580007.html,missing
61,dyson dc14 lavender/trans violet cyclone assembly 908658-08,50,https://charlottesville.craigslist.org/app/d/pratts-dyson-dc14-lavender-trans-violet/7819579866.html,missing
62,ge 1150watt microwave,20,https://charlottesville.craigslist.org/app/d/charlottesville-ge-1150watt-microwave/7816397843.html,ge
63,microwave oven counter top frigidaire,100,https://charlottesville.craigslist.org/app/d/charlottesville-microwave-oven-counter/7819548379.html,frigidaire
64,american standard 30-in x 60-in white acrylic alcove soaking bathtub w,499,https://charlottesville.craigslist.org/app/d/charlottesville-american-standard-30-in/7819432575.html,missing
65,true commercial refridgerator,650,https://charlottesville.craigslist.org/app/d/charlottesville-true-commercial/7818997487.html,missing
66,commercial restaurant  pressure fryer,900,https://charlottesville.craigslist.org/app/d/charlottesville-commercial-restaurant/7813281607.html,missing
67,portable heaters,80,https://charlottesville.craigslist.org/app/d/charlottesville-portable-heaters/7817451251.html,missing
